accuracy,loss,val_accuracy,val_loss
0.7552056312561035,0.5284563302993774,0.8370640277862549,0.37868624925613403
0.8328995108604431,0.37545499205589294,0.8630921244621277,0.32022351026535034
0.8495575189590454,0.34407487511634827,0.8761062026023865,0.29258379340171814
0.8666059374809265,0.3227840065956116,0.87818843126297,0.2898275852203369
0.8763664960861206,0.2976720929145813,0.8823529481887817,0.26989972591400146
0.8802707195281982,0.2925238609313965,0.87975013256073,0.2749985456466675
0.8893805146217346,0.2721533477306366,0.897449254989624,0.2534879446029663
0.8883394002914429,0.2694810628890991,0.8927642107009888,0.25896045565605164
0.8931546211242676,0.26295748353004456,0.8922436237335205,0.24715737998485565
0.8995314836502075,0.2515447735786438,0.8912025094032288,0.256995290517807
0.9012233018875122,0.2480253428220749,0.8807912468910217,0.28118231892585754
0.906298816204071,0.24011385440826416,0.8891202211380005,0.26553136110305786
0.9090317487716675,0.23269397020339966,0.906298816204071,0.23042993247509003
0.9096824526786804,0.2254270315170288,0.903175413608551,0.2289413958787918
0.9181416034698486,0.22109247744083405,0.8953669667243958,0.2434624284505844
0.9171004891395569,0.22003379464149475,0.9042165279388428,0.2234768122434616
0.9191827178001404,0.21235035359859467,0.9073399305343628,0.22756721079349518
0.9197033047676086,0.20780357718467712,0.906298816204071,0.23113426566123962
0.9204841256141663,0.20254220068454742,0.9125455617904663,0.22470171749591827
0.921525239944458,0.20894570648670197,0.910463273525238,0.22428081929683685
0.9266007542610168,0.1942482888698578,0.897449254989624,0.2439006268978119
