accuracy,loss,val_accuracy,val_loss
0.7407600283622742,0.8281617164611816,0.7647058963775635,0.4739655554294586
0.8070015907287598,0.4356759488582611,0.8287350535392761,0.41777777671813965
0.830036461353302,0.38740265369415283,0.8131181597709656,0.42055651545524597
0.8585371971130371,0.3293076157569885,0.8266527652740479,0.3863271474838257
0.8677772283554077,0.30755415558815,0.8656949400901794,0.31994307041168213
0.8857365846633911,0.27460193634033203,0.8417490720748901,0.355119913816452
0.8913326263427734,0.2530493140220642,0.8584070801734924,0.3581681549549103
0.9010931849479675,0.24553164839744568,0.8750650882720947,0.29660409688949585
0.9134565591812134,0.21486802399158478,0.87662672996521,0.3180258870124817
0.9194430112838745,0.20641392469406128,0.863612711429596,0.3528822958469391
0.9181416034698486,0.20006394386291504,0.8735033869743347,0.3137963116168976
0.9387037754058838,0.161971315741539,0.8844351768493652,0.31244948506355286
0.9457314014434814,0.13749012351036072,0.8735033869743347,0.3208314776420593
